视频名称,评价A来源,评价B来源,是否交换
20251112095932275_clip_1205.mp4,真实标注,模型预测,否
20251112095932275_clip_231.mp4,真实标注,模型预测,否
20251112095932275_clip_728.mp4,真实标注,模型预测,否
20251112100041251_clip_131.mp4,真实标注,模型预测,否
20251112100041251_clip_878.mp4,模型预测,真实标注,是
20251112100137679_clip_1160.mp4,模型预测,真实标注,是
20251112100137679_clip_204.mp4,真实标注,模型预测,否
20251112100137679_clip_652.mp4,真实标注,模型预测,否
20251112100409538_clip_1224.mp4,真实标注,模型预测,否
20251112100409538_clip_1642.mp4,真实标注,模型预测,否
20251112100409538_clip_314.mp4,真实标注,模型预测,否
20251112100553170_clip_72.mp4,模型预测,真实标注,是
20251112100620950_clip_172.mp4,真实标注,模型预测,否
20251112100822450_clip_134.mp4,模型预测,真实标注,是
20251112100822450_clip_572.mp4,真实标注,模型预测,否
20251112100822450_clip_98.mp4,真实标注,模型预测,否
20251112100925694_clip_1196.mp4,真实标注,模型预测,否
20251112100925694_clip_169.mp4,真实标注,模型预测,否
20251112100925694_clip_836.mp4,模型预测,真实标注,是
20251112101047162_clip_175.mp4,模型预测,真实标注,是
20251112101438657_clip_1020.mp4,真实标注,模型预测,否
20251112101438657_clip_565.mp4,真实标注,模型预测,否
20251112101438657_clip_79.mp4,真实标注,模型预测,否
20251112101538321_clip_150.mp4,模型预测,真实标注,是
20251112101538321_clip_832.mp4,真实标注,模型预测,否
20251112101636133_clip_78.mp4,模型预测,真实标注,是
20251112101636133_clip_950.mp4,模型预测,真实标注,是
20251112101939813_clip_1095.mp4,真实标注,模型预测,否
20251112101939813_clip_283.mp4,真实标注,模型预测,否
20251112101939813_clip_702.mp4,真实标注,模型预测,否
20251112102056941_clip_1125.mp4,真实标注,模型预测,否
20251112102056941_clip_169.mp4,真实标注,模型预测,否
20251112102056941_clip_748.mp4,模型预测,真实标注,是
20251112102203957_clip_185.mp4,真实标注,模型预测,否
20251112102203957_clip_939.mp4,真实标注,模型预测,否
20251112102505692_clip_1194.mp4,模型预测,真实标注,是
20251112102505692_clip_252.mp4,模型预测,真实标注,是
20251112102505692_clip_697.mp4,模型预测,真实标注,是
20251112102609396_clip_277.mp4,真实标注,模型预测,否
20251112102609396_clip_892.mp4,模型预测,真实标注,是
2025111210273376_clip_1003.mp4,模型预测,真实标注,是
2025111210273376_clip_345.mp4,真实标注,模型预测,否
2025111210273376_clip_671.mp4,真实标注,模型预测,否
20251117095338124_clip_699.mp4,模型预测,真实标注,是
20251117095338124_clip_970.mp4,模型预测,真实标注,是
2025111710065211_clip_1160.mp4,模型预测,真实标注,是
2025111710065211_clip_838.mp4,真实标注,模型预测,否
20251117101314650_clip_1021.mp4,模型预测,真实标注,是
20251117101314650_clip_340.mp4,真实标注,模型预测,否
20251117101314650_clip_622.mp4,真实标注,模型预测,否
20251117101719541_clip_1171.mp4,模型预测,真实标注,是
20251117101719541_clip_215.mp4,模型预测,真实标注,是
20251117101719541_clip_846.mp4,真实标注,模型预测,否
20251117102322621_clip_1245.mp4,模型预测,真实标注,是
20251117102322621_clip_1662.mp4,模型预测,真实标注,是
20251117102322621_clip_2070.mp4,模型预测,真实标注,是
20251117102322621_clip_884.mp4,真实标注,模型预测,否
20251117102710477_clip_1051.mp4,真实标注,模型预测,否
20251117102710477_clip_329.mp4,真实标注,模型预测,否
20251117102710477_clip_752.mp4,模型预测,真实标注,是
20251118100934376_clip_1043.mp4,模型预测,真实标注,是
20251118100934376_clip_605.mp4,真实标注,模型预测,否
20251118100934376_clip_92.mp4,模型预测,真实标注,是
2025111810104067_clip_119.mp4,模型预测,真实标注,是
2025111810104067_clip_802.mp4,真实标注,模型预测,否
20251118101300879_clip_1056.mp4,模型预测,真实标注,是
20251118101300879_clip_91.mp4,模型预测,真实标注,是
20251118101648486_clip_1116.mp4,真实标注,模型预测,否
20251118101648486_clip_291.mp4,模型预测,真实标注,是
20251118101648486_clip_702.mp4,真实标注,模型预测,否
20251118101800254_clip_408.mp4,真实标注,模型预测,否
20251118101800254_clip_80.mp4,真实标注,模型预测,否
20251118101800254_clip_826.mp4,模型预测,真实标注,是
20251118102029458_clip_572.mp4,模型预测,真实标注,是
20251118102029458_clip_71.mp4,真实标注,模型预测,否
20251118102138942_clip_117.mp4,模型预测,真实标注,是
20251118102427866_clip_1311.mp4,真实标注,模型预测,否
20251118102427866_clip_892.mp4,真实标注,模型预测,否
20251118102545781_clip_770.mp4,真实标注,模型预测,否
20251118102545781_clip_84.mp4,真实标注,模型预测,否
20251118135032563_clip_1257.mp4,真实标注,模型预测,否
20251118135032563_clip_383.mp4,真实标注,模型预测,否
20251118135032563_clip_838.mp4,模型预测,真实标注,是
20251118140916561_clip_1184.mp4,真实标注,模型预测,否
20251118140916561_clip_1619.mp4,真实标注,模型预测,否
20251118141046553_clip_1048.mp4,模型预测,真实标注,是
20251118141046553_clip_593.mp4,模型预测,真实标注,是
20251118141046553_clip_77.mp4,真实标注,模型预测,否
20251118141152905_clip_375.mp4,模型预测,真实标注,是
20251118141152905_clip_660.mp4,真实标注,模型预测,否
2025111814144240_clip_1008.mp4,真实标注,模型预测,否
2025111814144240_clip_92.mp4,真实标注,模型预测,否
20251118141549429_clip_1058.mp4,模型预测,真实标注,是
20251118141549429_clip_187.mp4,模型预测,真实标注,是
20251118141549429_clip_658.mp4,模型预测,真实标注,是
